name,taste,price,category,Type
Crème hydratante Contour des Yeux (flacon pompe airless de 15 ml),,42.5,SKIN® - LA NUTRITION INTELLIGENTE,Nututrition externe
Crème hydratante FPS 30 (flacon pompe airless de 50 ml),,53,SKIN® - LA NUTRITION INTELLIGENTE,Nututrition externe
Hydratant Eclat Quotidien (flacon pompe airless de 50 ml),,53,SKIN® - LA NUTRITION INTELLIGENTE,Nututrition externe
Crème de Nuit régénératrice  (flacon pompe airless de 50 ml),,53,SKIN® - LA NUTRITION INTELLIGENTE,Nututrition externe
Exfoliant Instantané aux Baies Rouges (tube de 120 ml),,21,SKIN® - LA NUTRITION INTELLIGENTE,Nututrition externe
Masque d'Argile purifiant à la Menthe (tube de 120 ml),,23,SKIN® - LA NUTRITION INTELLIGENTE,Nututrition externe
Coffret Beauté 7 jours (set de 5 mini-produits),,28.5,SKIN® - LA NUTRITION INTELLIGENTE,Nututrition externe
Herbal Aloe – Shampoing Fortifiant,,15,SOINS CORPS ET CHEVEUX,Nututrition externe
Herbal Aloe – Après-shampoing Fortifiant,,15,SOINS CORPS ET CHEVEUX,Nututrition externe
Herbal Aloe – Savon Mains et Corps,,15,SOINS CORPS ET CHEVEUX,Nututrition externe
Herbal Aloe – Lait Quotidien Apaisant Mains et Corps,,14.5,SOINS CORPS ET CHEVEUX,Nututrition externe
Herbal Aloe – Gel Apaisant,,14.5,SOINS CORPS ET CHEVEUX,Nututrition externe
Herbal Aloe – Pain de Savon pour le Corps,,10,SOINS CORPS ET CHEVEUX,Nututrition externe
